Code	Line #	House	Room	Container	Object	Quantity	Value	Substrate	Trim or Accouterments	Contents	Size and Shape	Color	Condition	Function	Style	Gender	Owner	Other words	NumOther
1405-03 	6 				tinam 	aliam, quandam 			cum tribus plethis cum suo torculari 		parvam 								1
1405-03 	7 					unum 					capacitatis, milhayrolarum 	rubeo 						circa, plenum, vas, vel, vino, xxiiii 	6
1405-03 	8 					alia, duo 					capacitatis, milhayrolarum 	rubeo 						circa, plena, quodlibet, vasa, vel, viginti, vino 	7
1405-03 	9 					alia, decem, duo 					capacitatis, milhayrolarum, parva 	rubeo 						circa, plena, quolibet, vasa, vel, vino 	6
1405-03 	10 					sex, unam 					capacitatis, parvam 	albo 						botam, milhayroarum, plenam, vino 	4
1405-03 	11 					duo 				vacua 								vasa, vinaria 	2
1405-03 	12 									vacuas 	parvas 							botas, quatuor 	2
1405-03 	13 				discaricatoria 	unam 													1
1405-03 	14 				trahedoyram 	unam 													1
1405-03 	15 				imbutum 	unum 					magnum 								1
1405-03 	16 				bancum 	unum 		fusteum 											1
1405-03 	17 					unum 		ferratum 										pohayce, pro puteo, sive 	3
1405-03 	19 					unam 			cum tabulonis 									mensalem, tabulam 	2
1405-03 	20 				dreyssatorium 	unum 													1
1405-03 	21 					unam 												mensam, retro, scueriam 	3
1405-03 	22 																	pavesia, quatuor 	2
1405-03 	23 										parva 							[adornment], aule, duodecim, pavesia, pro paramento, que, scussella, sive, tenentur 	9
1405-03 	24 					unam 												psitaci, tristegam 	2
1405-03 	26 					unam 			cum duabus bredolis 									[bed], colcam 	2
1405-03 	27 					unam, unum 												culcitram, et, matalacium 	3
1405-03 	28 				transverserium 	unum 													1
1405-03 	29 					tres 						viridis 						[curtains], cortinarum, petias, tele 	4
1405-03 	30 					tria, unum 												[cushion], [pillows], auricularia, bancale, et 	5
1405-03 	31 					unam 												capciam, de nuce, eam,, et, infra, res, sequentes, sistentes, viz 	9
1405-03 	33 					unum 						de livido 						Guillelmi, ipsius, mantellum 	3
1405-03 	34 					duo 												capucia, de violeto, domine 	3
1405-03 	35 					unum 						rubeum 						domine, et, mantellum 	3
1405-03 	36 				capcietam 	quandam 			cum certis cartis seu instrumentis 		parvam 								1
1405-03 	37 					alias, duas 			cum certis velis et camisiis domine 		parvas 							capcietas, modici, valoris 	3
1405-03 	39 				colcam 	unam 					parvam 								1
1405-03 	40 				matalacium 	unum 					parvam 								1
1405-03 	41 				transverserium 	unum 													1
1405-03 	42 				flassiatam 	unam 													1
1405-03 	43 					unam, unum 		panni 				lividi 						burdi, copertam, copertorium, et 	4
1405-03 	44 				capciam 	unam 					parvam 								1
1405-03 	45 				eminam 	unam 		fusteam 					fractam 						1
1405-03 	46 				panalem 	unam 		fusteam 											1
1405-03 	47 					unam 							veterem 					capciam, farinam? 	2
1405-03 	48 				serrapos 	unum 		ferreum 											1
1405-03 	49 				canistrum 	unum 			cum aliquibus sissoriis fuste 										1
1405-03 	51 					unam 			cum tabulonis 									mensalem, tabulam 	2
1405-03 	52 				bredolam 	unam 													1
1405-03 	53 					unam 					parvam 		veterem 					modici, tabulam, valoris 	3
1405-03 	54 				concam 	unam 					magnam 								1
1405-03 	55 				concam 	aliam, unam 					parvam 				perforatam 				1
1405-03 	56 				cacobos 	duos, duos 													1
1405-03 	57 				calfatoria 	tria 		cupri 											1
1405-03 	58 				sartaginem 	unam 													1
1405-03 	59 				grahilham 	unam 													1
1405-03 	60 				tianum 	unum 		cupri 											1
1405-03 	61 				tripedes 	duos 							veteres 						1
1405-03 	62 					duas, tres 		stagni 										agferas,, et, potos,, quatuor, salerias 	5
1405-03 	63 																	aquiferas, quatuor 	2
1405-03 	64 				solerias 	duos 		stagni 											1
1405-03 	65 					sex, sex 		stagni 										et, platos,, salserias, scutellas, sesdecim 	5
1405-03 	66 					unam, unam 								ad portandum 				et, mastram, panem, tabula 	4
1405-03 	67 				tamissium 	unum 													1
